Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement,q_conv,q_papago,q_ko,group_nums_ko
"For Halloween Emily received number0 pieces of candy from neighbors and number1 pieces from her older sister . If she only ate number2 pieces a day , how long would the candy last her ?",5.0 13.0 9.0,/ + number0 number1 number2,2.0,"[3, 4, 5, 10, 11, 12, 21, 22, 23, 31, 32, 33]","For Halloween Emily received number0 pieces of candy from neighbors and number1 pieces from her older sister . If she only ate number2 pieces a day ,",how long would the candy last her ?,"For Halloween Emily received 3730 pieces of candy from neighbors and 3731 pieces from her older sister . If she only ate 3732 pieces a day , how long would the candy last her ?","할로윈을 위해 에밀리는 이웃들로부터 3730조각의 사탕과 3731조각을 받았습니다. 만약 그녀가 하루에 3732조각만 먹는다면, 그 사탕은 얼마나 오래 지속될까요?","할로윈을 위해 에밀리는 이웃들로부터 number0조각의 사탕과 number1조각을 받았습니다 . 만약 그녀가 하루에 number2조각만 먹는다면 , 그 사탕은 얼마나 오래 지속될까요 ?","[3, 4, 5, 6, 7, 11, 12, 13, 17, 18, 19]"
Sally had number0 cards . Dan gave her number1 new cards . Sally bought number2 cards . How many cards does Sally have now ?,27.0 41.0 20.0,+ + number0 number1 number2,88.0,"[1, 2, 3, 7, 8, 9, 13, 14, 15, 21, 22, 23]",Sally had number0 cards . Dan gave her number1 new cards . Sally bought number2 cards .,How many cards does Sally have now ?,Anderson had 3730 cards . Cyndia gave her 3731 new cards . Anderson bought 3732 cards . How many cards does Anderson have now ?,앤더슨은 3730장의 카드를 가지고 있었다. 신디아는 그녀에게 3731장의 새 카드를 주었다. 앤더슨은 3732장의 카드를 샀다. 앤더슨은 지금 몇 개의 카드를 가지고 있습니까?,민우는 number0장의 카드를 가지고 있었다 . 지민은 그녀에게 number1장의 새 카드를 주었다 . 민우는 number2장의 카드를 샀다 . 민우는 지금 몇 개의 카드를 가지고 있습니까 ?,"[0, 1, 2, 7, 8, 9, 13, 14, 15, 22, 23, 24]"
Ruby has number0 apples . Emily takes number1 away . How many apples will Ruby have ?,63.0 55.0,- number0 number1,8.0,"[1, 2, 3, 6, 7, 8, 13, 14, 15]",Ruby has number0 apples . Emily takes number1 away .,How many apples will Ruby have ?,Ruby has 3730 apples . Anderson takes 3731 away . How many apples will Ruby have ?,루비는 3730개의 사과를 가지고 있다. 앤더슨은 3731개의 사과를 가지고 간다. 루비는 몇개의 사과를 가질까?,루비는 number0개의 사과를 가지고 있다 . 유나는 number1개의 사과를 가지고 간다 . 루비는 몇개의 사과를 가질까 ?,"[0, 1, 2, 6, 7, 8, 13, 14, 15]"
The Ferris wheel in Paradise Park has number0 seats . Each seat can hold number1 people . How many people can ride the Ferris wheel at the same time ?,14.0 6.0,* number0 number1,84.0,"[6, 7, 8, 13, 14, 15, 26, 27, 28]",The Ferris wheel in Paradise Park has number0 seats . Each seat can hold number1 people .,How many people can ride the Ferris wheel at the same time ?,The Ferris wheel in Paradise Park has 3730 seats . Each seat can hold 3731 people . How many people can ride the Ferris wheel at the same time ?,파라다이스 공원의 관람차는 3730석의 좌석이 있다. 각 좌석은 3731명을 수용할 수 있다. 얼마나 많은 사람들이 동시에 관람차를 탈 수 있나요?,파라다이스 공원의 관람차는 number0석의 좌석이 있다 . 각 좌석은 number1명을 수용할 수 있다 . 얼마나 많은 사람들이 동시에 관람차를 탈 수 있나요 ?,"[2, 3, 4, 8, 9, 10, 19, 20, 21]"
"John earned number0 dollars for each lawn he mowed . If he had number1 lawns to mow , but forgot to mow number2 of them , how much money did he actually earn ?",8.0 15.0 7.0,* number0 - number1 number2,64.0,"[1, 2, 3, 12, 13, 14, 21, 22, 23, 30, 31, 32]","John earned number0 dollars for each lawn he mowed . If he had number1 lawns to mow , but forgot to mow number2 of them ,",how much money did he actually earn ?,"Anderson earned 3730 dollars for each lawn he mowed . If he had 3731 lawns to mow , but forgot to mow 3732 of them , how much money did he actually earn ?","앤더슨은 그가 깎은 잔디 한 개당 3730달러를 벌었다. 만약 그가 3731개의 잔디를 깎는 것을 잊었다면, 그러나 3732개의 잔디를 깎는 것을 잊었다면, 그는 실제로 얼마나 많은 돈을 벌었을까요?","지현은 그가 깎은 잔디 한 개당 number0달러를 벌었다 . 만약 그가 number1개의 잔디를 깎는 것을 잊었다면 , 그러나 number2개의 잔디를 깎는 것을 잊었다면 , 그는 실제로 얼마나 많은 돈을 벌었을까요 ?","[5, 6, 7, 10, 11, 12, 17, 18, 19, 27, 28, 29]"
Jack starts with number0 marbles . He shares number1 with Rebecca . How many marbles does Jack end with ?,62.0 33.0,- number0 number1,29.0,"[2, 3, 4, 7, 8, 9, 16, 17, 18]",Jack starts with number0 marbles . He shares number1 with Rebecca .,How many marbles does Jack end with ?,Anderson starts with 3730 marbles . He shares 3731 with Cyndia . How many marbles does Anderson end with ?,앤더슨은 3730개의 구슬로 시작한다. 그는 신디아와 3731을 공유한다. 앤더슨은 몇 개의 구슬로 끝납니까?,서희는 number0개의 구슬로 시작한다 . 그는 지민과 number1을 공유한다 . 서희는 몇 개의 구슬로 끝납니까 ?,"[0, 1, 2, 6, 7, 8, 12, 13, 14]"
"Sarah had number0 homework problems . She finished number1 of them but still had number2 pages of problems to do . If each page has the same number of problems on it , how many problems are on each page ?",60.0 20.0 5.0,/ - number0 number1 number2,8.0,"[1, 2, 3, 7, 8, 9, 13, 14, 15, 37, 38, 39]","Sarah had number0 homework problems . She finished number1 of them but still had number2 pages of problems to do . If each page has the same number of problems on it ,",how many problems are on each page ?,"Anderson had 3730 homework problems . She finished 3731 of them but still had 3732 pages of problems to do . If each page has the same number of problems on it , how many problems are on each page ?","앤더슨은 3730개의 숙제 문제를 가지고 있었다. 그녀는 그들 중 3731개를 끝냈지만 여전히 3732페이지에 대한 문제가 있었다. 만약 각 페이지가 그것에 같은 숫자의 문제를 가지고 있다면, 각 페이지에 얼마나 많은 문제가 있는가?","민우는 number0개의 숙제 문제를 가지고 있었다 . 그녀는 그들 중 number1개를 끝냈지만 여전히 number2페이지에 대한 문제가 있었다 . 만약 각 페이지가 그것에 같은 숫자의 문제를 가지고 있다면 , 각 페이지에 얼마나 많은 문제가 있는가 ?","[0, 1, 2, 9, 10, 11, 12, 13, 14, 31, 32, 33]"
There are number0 books on the shelf . Marta put number1 more books on the shelf . How many books are on the shelf now ?,38.0 10.0,+ number0 number1,48.0,"[1, 2, 3, 9, 10, 11, 22, 23, 24]",There are number0 books on the shelf . Marta put number1 more books on the shelf .,How many books are on the shelf now ?,There are 3730 books on the shelf . Anderson put 3731 more books on the shelf . How many books are on the shelf now ?,3730권의 책이 선반위에 있다. 앤더슨은 3731권의 책을 더 선반위에 놓았다. 현재 몇권의 책이 선반위에 있는가?,number0권의 책이 선반위에 있다 . 민우는 number1권의 책을 더 선반위에 놓았다 . 현재 몇권의 책이 선반위에 있는가 ?,"[0, 1, 5, 6, 7, 14, 15, 16]"
"Maria was making baggies of cookies with number0 cookies in each bag . If she had number1 chocolate chip cookies and number2 oatmeal cookies , how many baggies could she make ?",8.0 5.0 19.0,/ + number1 number2 number0,3.0,"[6, 7, 8, 15, 16, 17, 20, 21, 22, 28, 29, 30]","Maria was making baggies of cookies with number0 cookies in each bag . If she had number1 chocolate chip cookies and number2 oatmeal cookies ,",how many baggies could she make ?,"Anderson was making baggies of cookies with 3730 cookies in each bag . If she had 3731 chocolate chip cookies and 3732 oatmeal cookies , how many baggies could she make ?","앤더슨은 각각의 가방에 3730개의 쿠키와 함께 쿠키의 가방을 만들고 있었다. 만약 그녀가 3731개의 초콜릿 칩 쿠키와 3732개의 오트밀 쿠키를 가지고 있다면, 그녀는 얼마나 많은 가방을 만들 수 있었을까?","민우는 각각의 가방에 number0개의 쿠키와 함께 쿠키의 가방을 만들고 있었다 . 만약 그녀가 number1개의 초콜릿 칩 쿠키와 number2개의 오트밀 쿠키를 가지고 있다면 , 그녀는 얼마나 많은 가방을 만들 수 있었을까 ?","[2, 3, 4, 12, 13, 14, 16, 17, 18, 27, 28, 29]"
There are number0 bananas in a pile on the desk . Each banana comes in a package of number1 . number2 bananas are added to the pile . How many bananas are there in the pile ?,2.0 17.0 7.0,+ number0 number2,9.0,"[1, 2, 3, 17, 18, 19, 19, 20, 21, 33, 34, 35]",There are number0 bananas in a pile on the desk . Each banana comes in a package of number1 . number2 bananas are added to the pile .,How many bananas are there in the pile ?,There are 3730 bananas in a pile on the desk . Each banana comes in a package of 3731 . 3732 bananas are added to the pile . How many bananas are there in the pile ?,"책상위에 3730개의 바나나가 있다. 바나나는 3731개씩 포장되어 있다. 책상에 3732개의 바나나를 더하면, 모두 몇개의 바나나가 있는가?","책상위에 number0개의 바나나가 있다 . 바나나는 number1개씩 포장되어 있다 . 책상에 number2개의 바나나를 더하면 , 모두 몇개의 바나나가 있는가 ?","[0, 1, 2, 5, 6, 7, 10, 11, 12, 16, 17, 18]"
"Henry was helping the cafeteria workers pick up lunch trays , but he could only carry number0 trays at a time . If he had to pick up number1 trays from one table and number2 trays from another , how many trips will he make ?",9.0 29.0 52.0,/ + number1 number2 number0,9.0,"[15, 16, 17, 27, 28, 29, 33, 34, 35, 42, 43, 44]","Henry was helping the cafeteria workers pick up lunch trays , but he could only carry number0 trays at a time . If he had to pick up number1 trays from one table and number2 trays from another ,",how many trips will he make ?,"Anderson was helping the cafeteria workers pick up lunch trays , but he could only carry 3730 trays at a time . If he had to pick up 3731 trays from one table and 3732 trays from another , how many trips will he make ?","Anderson은 카페테리아 일꾼들이 점심 쟁반을 집는 것을 돕고 있었습니다, 그러나 그는 한 번에 3730개의 쟁반만 운반할 수 있었습니다. 만약 그가 한 테이블로부터 3731개의 트레이와 다른 테이블로부터 3732개의 트레이를 집어야 한다면, 그는 얼마나 많은 여행을 할 것인가?","지현은 카페테리아 일꾼들이 점심 쟁반을 집는 것을 돕고 있었습니다 , 그러나 그는 한 번에 number0개의 쟁반만 운반할 수 있었습니다 . 만약 그가 한 테이블로부터 number1개의 트레이와 다른 테이블로부터 number2개의 트레이를 집어야 한다면 , 그는 얼마나 많은 여행을 할 것인가 ?","[13, 14, 15, 23, 24, 25, 27, 28, 29, 36, 37, 38]"
"Roger had number0 pieces of clothing to wash . He put number1 of them in one load , but decided to split the rest into number2 equal loads . How many pieces of clothing could go in each of the small loads ?",120.0 48.0 9.0,/ - number0 number1 number2,8.0,"[1, 2, 3, 10, 11, 12, 24, 25, 26, 39, 40, 41]","Roger had number0 pieces of clothing to wash . He put number1 of them in one load , but decided to split the rest into number2 equal loads .",How many pieces of clothing could go in each of the small loads ?,"Anderson had 3730 pieces of clothing to wash . He put 3731 of them in one load , but decided to split the rest into 3732 equal loads . How many pieces of clothing could go in each of the small loads ?","Anderson은 3730조각의 옷을 빨았다. 그는 그것들 중 3731개를 한 짐에 넣었지만, 3732개의 같은 짐으로 나머지를 나누기로 결정했습니다. 작은 짐들 각각에 몇 조각의 옷이 들어갈 수 있습니까?","지훈은 number0조각의 옷을 빨았다 . 그는 그것들 중 number1개를 한 짐에 넣었지만 , number2개의 같은 짐으로 나머지를 나누기로 결정했습니다 . 작은 짐들 각각에 몇 조각의 옷이 들어갈 수 있습니까 ?","[0, 1, 2, 7, 8, 9, 12, 13, 14, 26, 27, 28]"
Jason had number0 quarters in his bank . His dad gave him number1 more quarters . How many quarters does he have now ?,49.0 25.0,+ number0 number1,74.0,"[1, 2, 3, 11, 12, 13, 20, 21, 22]",Jason had number0 quarters in his bank . His dad gave him number1 more quarters .,How many quarters does he have now ?,Anderson had 3730 quarters in his bank . His dad gave him 3731 more quarters . How many quarters does he have now ?,앤더슨은 그의 은행에 3730쿼터를 가지고 있었다. 그의 아버지는 그에게 3731쿼터를 더 주었다. 그는 지금 25센트짜리 동전 몇 개를 가지고 있습니까?,윤재는 그의 은행에 number0쿼터를 가지고 있었다 . 그의 아버지는 그에게 number1쿼터를 더 주었다 . 그는 지금 25센트짜리 동전 몇 개를 가지고 있습니까 ?,"[2, 3, 4, 9, 10, 11, 19, 20, 21]"
Joan bought number0 dozen eggs from the grocery store to bake some cakes . How many eggs did Joan buy ?,6.0,* number0 12.0,72.0,"[1, 2, 3, 19, 20, 21]",Joan bought number0 dozen eggs from the grocery store to bake some cakes .,How many eggs did Joan buy ?,Anderson bought 3730 dozen eggs from the grocery store to bake some cakes . How many eggs did Anderson buy ?,앤더슨은 케이크를 굽기 위해 식료품점에서 3730다스의 달걀을 샀다. 앤더슨은 얼마나 많은 달걀을 샀습니까?,윤재는 케이크를 굽기 위해 식료품점에서 number0다스의 달걀을 샀다 . 윤재는 얼마나 많은 달걀을 샀습니까 ?,"[4, 5, 6, 11, 12, 13]"
Albert has number0 bottle caps . Anne has with number1 bottle caps . Anne finds another number2 . How many bottle caps does Anne end with ?,9.0 10.0 5.0,+ number1 number2,15.0,"[1, 2, 3, 8, 9, 10, 15, 16, 17, 23, 24, 25]",Albert has number0 bottle caps . Anne has with number1 bottle caps . Anne finds another number2 .,How many bottle caps does Anne end with ?,Anderson has 3730 bottle caps . Cyndia has with 3731 bottle caps . Cyndia finds another 3732 . How many bottle caps does Cyndia end with ?,앤더슨은 3730개의 병뚜껑을 가지고 있다. 신디아는 3731개의 병뚜껑을 가지고 있다. 신디아는 또 다른 3732개를 찾는다. 신디아는 몇개의 병뚜껑으로 끝나는가?,지현은 number0개의 병뚜껑을 가지고 있다 . 서희는 number1개의 병뚜껑을 가지고 있다 . 서희는 또 다른 number2개를 찾는다 . 서희는 몇개의 병뚜껑으로 끝나는가 ?,"[0, 1, 2, 6, 7, 8, 14, 15, 16, 19, 20, 21]"
A petri dish originally contained number0 bacteria . A scientist let the bacteria grow and now there are number1 of them . How many more bacteria are there now ?,600.0 8917.0,- number1 number0,8317.0,"[4, 5, 6, 17, 18, 19, 26, 27, 28]",A petri dish originally contained number0 bacteria . A scientist let the bacteria grow and now there are number1 of them .,How many more bacteria are there now ?,A petri dish originally contained 3730 bacteria . A scientist let the bacteria grow and now there are 3731 of them . How many more bacteria are there now ?,페트리 접시는 원래 3730개의 박테리아를 포함하고 있었다. 한 과학자가 박테리아를 자라게 했고 현재 3731마리가 있다. 지금 얼마나 더 많은 박테리아가 있나요?,페트리 접시는 원래 number0개의 박테리아를 포함하고 있었다 . 한 과학자가 박테리아를 자라게 했고 현재 number1마리가 있다 . 지금 얼마나 더 많은 박테리아가 있나요 ?,"[2, 3, 4, 13, 14, 15, 20, 21, 22]"
"The distance measured on a map varies directly with the actual distance . If number0 cm represents number1 kilometers , how many kilometers are represented by number2 cm ?",1.0 25.0 7.0,* number1 number2,175.0,"[13, 14, 15, 16, 17, 18, 25, 26, 27, 25, 26, 27]","The distance measured on a map varies directly with the actual distance . If number0 cm represents number1 kilometers ,",how many kilometers are represented by number2 cm ?,"The distance measured on a map varies directly with the actual distance . If 3730 cm represents 3731 kilometers , how many kilometers are represented by 3732 cm ?","지도에서 측정한 거리는 실제 거리에 따라 직접 달라진다. 만약 3730cm가 3731km를 나타낸다면, 3732cm는 몇 킬로미터로 표시됩니까?","지도에서 측정한 거리는 실제 거리에 따라 직접 달라진다 . 만약 number0cm가 number1km를 나타낸다면 , number2cm는 몇 킬로미터로 표시됩니까 ?","[9, 10, 11, 12, 13, 14, 15, 15, 16, 17]"
Nancy starts with number0 bottle caps . She finds another number1 . How many bottle caps does Nancy end with ?,91.0 88.0,+ number0 number1,179.0,"[2, 3, 4, 9, 10, 11, 17, 18, 19]",Nancy starts with number0 bottle caps . She finds another number1 .,How many bottle caps does Nancy end with ?,Anderson starts with 3730 bottle caps . She finds another 3731 . How many bottle caps does Anderson end with ?,앤더슨은 3730개의 병뚜껑으로 시작한다. 그녀는 또다른 3731을 발견한다. 앤더슨은 몇개의 병뚜껑으로 끝납니까?,서희는 number0개의 병뚜껑으로 시작한다 . 그녀는 또다른 number1을 발견한다 . 서희는 몇개의 병뚜껑으로 끝납니까 ?,"[0, 1, 2, 6, 7, 8, 11, 12, 13]"
number0 beavers were working on their home . number1 went for a swim . How many beavers are still working on their home ?,2.0 1.0,- number0 number1,1.0,"[0, 1, 7, 8, 9, 20, 21, 22]",number0 beavers were working on their home . number1 went for a swim .,How many beavers are still working on their home ?,3730 beavers were working on their home . 3731 went for a swim . How many beavers are still working on their home ?,3730 비버는 그들의 집에서 일하고 있었다. 3731은 수영을 하러 갔다. 얼마나 많은 비버들이 아직도 그들의 집에서 일하고 있나요?,number0 비버는 그들의 집에서 일하고 있었다 . number1은 수영을 하러 갔다 . 얼마나 많은 비버들이 아직도 그들의 집에서 일하고 있나요 ?,"[0, 1, 6, 7, 8, 17, 18, 19]"
Dina made cookies . She used number0 cup of flour and number1 cup of sugar . How much more flour than sugar did Dina use ?,0.625 0.25,- number0 number1,0.375,"[5, 6, 7, 10, 11, 12, 22, 23, 24]",Dina made cookies . She used number0 cup of flour and number1 cup of sugar .,How much more flour than sugar did Dina use ?,Anderson made cookies . She used 3730 cup of flour and 3731 cup of sugar . How much more flour than sugar did Anderson use ?,앤더슨은 쿠키를 만들었다. 그녀는 3730컵의 밀가루와 3731컵의 설탕을 사용했다. 앤더슨은 설탕보다 얼마나 더 많은 밀가루를 사용했습니까?,민우는 쿠키를 만들었다 . 그녀는 number0컵의 밀가루와 number1컵의 설탕을 사용했다 . 민우는 설탕보다 얼마나 더 많은 밀가루를 사용했습니까 ?,"[4, 5, 6, 7, 8, 15, 16, 17]"
"So far , an orchard has sold a combined total of number0 pounds of fresh and frozen fruit this season . If they have sold number1 pounds of frozen fruit , how many pounds of fresh fruit have been sold so far ?",9792.0 3513.0,- number0 number1,6279.0,"[10, 11, 12, 24, 25, 26, 39, 40, 41]","So far , an orchard has sold a combined total of number0 pounds of fresh and frozen fruit this season . If they have sold number1 pounds of frozen fruit ,",how many pounds of fresh fruit have been sold so far ?,"So far , an orchard has sold a combined total of 3730 pounds of fresh and frozen fruit this season . If they have sold 3731 pounds of frozen fruit , how many pounds of fresh fruit have been sold so far ?","지금까지, 과수원은 3730파운드의 신선하고 냉동된 과일을 이 계절에 팔았습니다. 만약 그들이 3731파운드의 냉동과일을 팔았다면, 지금까지 얼마나 많은 양의 신선한 과일이 팔렸습니까?","지금까지 , 과수원은 number0파운드의 신선하고 냉동된 과일을 이 계절에 팔았습니다 . 만약 그들이 number1파운드의 냉동과일을 팔았다면 , 지금까지 얼마나 많은 양의 신선한 과일이 팔렸습니까 ?","[2, 3, 4, 12, 13, 14, 21, 22, 23]"
"Alyssa loves eating fruits . Alyssa paid $ number0 for grapes , and $ number1 for cherries . In total , how much money did Alyssa spend ?",12.08 9.85,+ number0 number1,21.93,"[7, 8, 9, 13, 14, 15, 24, 25, 26]","Alyssa loves eating fruits . Alyssa paid $ number0 for grapes , and $ number1 for cherries . In total ,",how much money did Alyssa spend ?,"Anderson loves eating fruits . Anderson paid $ 3730 for grapes , and $ 3731 for cherries . In total , how much money did Anderson spend ?","앤더슨은 과일 먹는 것을 좋아한다. 앤더슨은 포도에 3730달러, 체리에 3731달러를 지불했다. 전체적으로, 앤더슨은 얼마나 많은 돈을 썼습니까?","윤재는 과일 먹는 것을 좋아한다 . 윤재는 포도에 number0달러 , 체리에 number1달러를 지불했다 . 전체적으로 , 윤재는 얼마나 많은 돈을 썼습니까 ?","[7, 8, 9, 10, 11, 12, 18, 19, 20]"
Hayley had number0 meatballs on her plate . Kirsten stole some of her meatballs . Now she has number1 meatballs on her plate . How many meatballs did Kirsten steal ?,25.0 11.0,- number0 number1,14.0,"[1, 2, 3, 17, 18, 19, 29, 30, 31]",Hayley had number0 meatballs on her plate . Kirsten stole some of her meatballs . Now she has number1 meatballs on her plate .,How many meatballs did Kirsten steal ?,Anderson had 3730 meatballs on her plate . Cyndia stole some of her meatballs . Now she has 3731 meatballs on her plate . How many meatballs did Cyndia steal ?,앤더슨은 그녀의 접시에 3730개의 미트볼을 가지고 있었다. 신디아는 그녀의 미트볼의 일부를 훔쳤다. 이제 그녀는 3731개의 미트볼을 접시에 담았다. 신디아는 얼마나 많은 미트볼을 훔쳤는가?,유나는 그녀의 접시에 number0개의 미트볼을 가지고 있었다 . 정현은 그녀의 미트볼의 일부를 훔쳤다 . 이제 그녀는 number1개의 미트볼을 접시에 담았다 . 정현은 얼마나 많은 미트볼을 훔쳤는가 ?,"[2, 3, 4, 15, 16, 17, 23, 24, 25]"
"For the final act , the circus brought out dancing animals wearing crowns . If each crown is made with number0 different colored feathers , how many feathers are needed for number1 crowns ?",7.0 934.0,* number0 number1,6538.0,"[19, 20, 21, 30, 31, 32, 30, 31, 32]","For the final act , the circus brought out dancing animals wearing crowns . If each crown is made with number0 different colored feathers ,",how many feathers are needed for number1 crowns ?,"For the final act , the circus brought out dancing animals wearing crowns . If each crown is made with 3730 different colored feathers , how many feathers are needed for 3731 crowns ?","마지막 행동을 위해, 서커스는 왕관을 쓰고 춤추는 동물들을 데리고 나왔습니다. 만약 각각의 왕관이 3730개의 다른 색깔의 깃털로 만들어 진다면, 3731개의 왕관을 위해 필요한 깃털의 수는 얼마인가?","마지막 행동을 위해 , 서커스는 왕관을 쓰고 춤추는 동물들을 데리고 나왔습니다 . 만약 각각의 왕관이 number0개의 다른 색깔의 깃털로 만들어 진다면 , number1개의 왕관을 위해 필요한 깃털의 수는 얼마인가 ?","[14, 15, 16, 21, 22, 23, 26, 27, 28]"
There are number0 popular trees currently in the park . Park workers will plant number1 more popular trees today . How many popular trees will the park have when the workers are finished ?,25.0 73.0,+ number0 number1,98.0,"[1, 2, 3, 15, 16, 17, 32, 33, 34]",There are number0 popular trees currently in the park . Park workers will plant number1 more popular trees today .,How many popular trees will the park have when the workers are finished ?,There are 3730 popular trees currently in the park . Park workers will plant 3731 more popular trees today . How many popular trees will the park have when the workers are finished ?,현재 공원에는 3730그루의 인기 있는 나무들이 있다. 공원 근로자들은 오늘 3731그루의 더 인기 있는 나무를 심을 것이다. 일꾼들이 일을 마치면 공원에는 몇 그루의 인기 있는 나무가 있을까?,현재 공원에는 number0그루의 인기 있는 나무들이 있다 . 공원 근로자들은 오늘 number1그루의 더 인기 있는 나무를 심을 것이다 . 일꾼들이 일을 마치면 공원에는 몇 그루의 인기 있는 나무가 있을까 ?,"[1, 2, 3, 10, 11, 12, 26, 27, 28]"
In fourth grade there were number0 students at the start of the year . During the year number1 students left and number2 new students came to school . How many students were in fourth grade at the end ?,40.0 14.0 26.0,- + number0 number2 number1,52.0,"[4, 5, 6, 16, 17, 18, 20, 21, 22, 35, 36, 37]",In fourth grade there were number0 students at the start of the year . During the year number1 students left and number2 new students came to school .,How many students were in fourth grade at the end ?,In fourth grade there were 3730 students at the start of the year . During the year 3731 students left and 3732 new students came to school . How many students were in fourth grade at the end ?,4학년때는 3730명의 학생들이 그 해의 시작에 있었다. 3731명의 학생들이 떠났고 3732명의 새로운 학생들이 학교에 왔다. 마지막에 4학년 학생들은 몇 명이었나요?,4학년때는 number0명의 학생들이 그 해의 시작에 있었다 . number1명의 학생들이 떠났고 number2명의 새로운 학생들이 학교에 왔다 . 마지막에 4학년 학생들은 몇 명이었나요 ?,"[0, 1, 2, 7, 8, 9, 10, 11, 12, 19, 20, 21]"
Connie has number0 red markers and number1 blue markers . How many markers does Connie have altogether ?,2315.0 1028.0,+ number0 number1,3343.0,"[1, 2, 3, 5, 6, 7, 14, 15, 16]",Connie has number0 red markers and number1 blue markers .,How many markers does Connie have altogether ?,Connie has 3730 red markers and 3731 blue markers . How many markers does Connie have altogether ?,코니는 3730개의 빨간색 마커와 3731개의 파란색 마커를 가지고 있다. 코니는 모두 몇개의 마커를 가지고 있는가?,코니는 number0개의 빨간색 마커와 number1개의 파란색 마커를 가지고 있다 . 코니는 모두 몇개의 마커를 가지고 있는가 ?,"[0, 1, 2, 3, 4, 5, 13, 14, 15]"
"There were originally number0 houses in Lincoln County . During a housing boom , developers built number1 more . How many houses are there now in Lincoln County ?",20817.0 97741.0,+ number0 number1,118558.0,"[2, 3, 4, 15, 16, 17, 25, 26, 27]","There were originally number0 houses in Lincoln County . During a housing boom , developers built number1 more .",How many houses are there now in Lincoln County ?,"There were originally 3730 houses in Lincoln County . During a housing boom , developers built 3731 more . How many houses are there now in Lincoln County ?","링컨 카운티에는 원래 3730채의 집이 있었다. 주택 붐 동안에, 개발자들은 3731 더 많이 지었습니다. 링컨 카운티에는 지금 집이 몇 채나 있습니까?","링컨 카운티에는 원래 number0채의 집이 있었다 . 주택 붐 동안에 , 개발자들은 number1 더 많이 지었습니다 . 링컨 카운티에는 지금 집이 몇 채나 있습니까 ?","[2, 3, 4, 11, 12, 13, 21, 22, 23]"
"In a video game , each enemy defeated gives you number0 points . If a level has number1 enemies total and you destroy all but number2 of them , how many points would you earn ?",9.0 11.0 3.0,* number0 - number1 number2,72.0,"[9, 10, 11, 16, 17, 18, 24, 25, 26, 32, 33, 34]","In a video game , each enemy defeated gives you number0 points . If a level has number1 enemies total and you destroy all but number2 of them ,",how many points would you earn ?,"In a video game , each enemy defeated gives you 3730 points . If a level has 3731 enemies total and you destroy all but 3732 of them , how many points would you earn ?","비디오 게임에서, 패배한 각각의 적들은 당신에게 3730 포인트를 줍니다. 만약 레벨이 3731 적들을 총합하고 당신이 그것들의 3732를 제외한 모든 것을 파괴한다면, 당신은 얼마나 많은 점수를 얻겠습니까?","비디오 게임에서 , 패배한 각각의 적들은 당신에게 number0 포인트를 줍니다 . 만약 레벨이 number1 적들을 총합하고 당신이 그것들의 number2를 제외한 모든 것을 파괴한다면 , 당신은 얼마나 많은 점수를 얻겠습니까 ?","[6, 7, 8, 12, 13, 14, 17, 18, 19, 26, 27, 28]"
Sandy had number0 pet fish . She bought number1 more fish . How many pet fish does Sandy have now ?,26.0 6.0,+ number0 number1,32.0,"[1, 2, 3, 7, 8, 9, 17, 18, 19]",Sandy had number0 pet fish . She bought number1 more fish .,How many pet fish does Sandy have now ?,Anderson had 3730 pet fish . She bought 3731 more fish . How many pet fish does Anderson have now ?,앤더슨은 3730마리의 애완용 물고기를 가지고 있었다. 그녀는 3731마리의 물고기를 더 샀다. 앤더슨은 지금 얼마나 많은 애완용 물고기를 가지고 있나요?,윤재는 number0마리의 애완용 물고기를 가지고 있었다 . 그녀는 number1마리의 물고기를 더 샀다 . 윤재는 지금 얼마나 많은 애완용 물고기를 가지고 있나요 ?,"[0, 1, 2, 7, 8, 9, 18, 19, 20]"
There are number0 cards . number1 cards more are added . How many are there total ?,4.0 3.0,+ number0 number1,7.0,"[1, 2, 3, 4, 5, 6, 13, 14, 15]",There are number0 cards . number1 cards more are added .,How many are there total ?,There are 3730 cards . 3731 cards more are added . How many are there total ?,3730개의 카드가 있습니다. 3731개의 카드가 더 추가됩니다. 총 몇 개입니까?,number0개의 카드가 있습니다 . number1개의 카드가 더 추가됩니다 . 총 몇 개입니까 ?,"[0, 1, 3, 4, 5, 9, 10, 11]"
number0 ducks are swimming in a lake . number1 more ducks come to join them . How many ducks are swimming in the lake ?,13.0 20.0,+ number0 number1,33.0,"[0, 1, 7, 8, 9, 21, 22, 23]",number0 ducks are swimming in a lake . number1 more ducks come to join them .,How many ducks are swimming in the lake ?,3730 ducks are swimming in a lake . 3731 more ducks come to join them . How many ducks are swimming in the lake ?,3730마리의 오리들이 호수에서 헤엄치고 있다. 3731마리의 오리들이 더 와서 그들과 합류한다. 얼마나 많은 오리들이 호수에서 수영하고 있나요?,number0마리의 오리들이 호수에서 헤엄치고 있다 . number1마리의 오리들이 더 와서 그들과 합류한다 . 얼마나 많은 오리들이 호수에서 수영하고 있나요 ?,"[0, 1, 5, 6, 7, 16, 17, 18]"
